date,year,return,value,n_features
2022-07-25,2022,0.0246295737491248,331786.0174527168,15
2022-08-01,2022,0.1497750466834913,381479.28370562714,15
2022-08-08,2022,0.02925295416954917,392638.67970850033,15
2022-08-15,2022,-0.09120295854333058,356828.87048053794,13
2022-08-22,2022,0.025054148888444528,365768.91412925284,13
2022-08-29,2022,0.07202045600826254,392111.7581184886,13
2022-09-12,2022,-0.05722668121062913,369672.50353770255,13
2022-09-19,2022,-0.11064246768893948,328771.0255095429,14
2022-09-26,2022,-0.03237295920101001,318127.73451424827,14
2022-10-03,2022,-0.020253897547308043,311684.4079724395,14
2022-10-10,2022,-0.021293114920796108,305047.67605446203,14
2022-10-17,2022,0.017398766506720176,310355.12934355123,15
2022-10-24,2022,0.03511961142735811,321254.68089058425,15
2022-10-31,2022,-0.06177914336045437,301407.8419046278,15
2022-11-07,2022,0.12168607488004399,338084.97912406677,15
2022-11-14,2022,-0.029512731063527996,328107.1680585597,15
2022-11-21,2022,0.04261051045240498,342087.981972628,15
2022-11-28,2022,0.0649017899525269,364290.10432389926,15
2022-12-05,2022,-0.03144477064733001,352835.08554434235,15
2022-12-12,2022,-0.05275760895259157,334220.35007643973,14
2022-12-19,2022,0.04283326958166737,348536.10043094313,14
2023-01-09,2023,0.1203208422847517,390472.25760143704,14
2023-01-23,2023,0.0030360930658411833,391657.7677151441,14
2023-01-30,2023,0.07891067771380013,422563.74759742024,15
2023-02-06,2023,7.749781065348182e-05,422596.49536272057,15
2023-02-13,2023,0.013523470848784514,428311.4667485568,15
2023-02-27,2023,0.033791529889627726,442784.7664792609,15
2023-03-06,2023,-0.08403630248347088,405574.7719083367,14
2023-03-13,2023,0.021848033111191732,414435.78295405407,14
2023-03-20,2023,0.001709850584379058,415144.4062197257,14
2023-03-27,2023,0.05306435527240848,437173.77648072224,14
2023-04-03,2023,-0.02627059695745727,425688.9603984277,15
2023-04-10,2023,-0.007064411631599021,422681.7183551458,15
2023-04-17,2023,-0.04046439754624499,405578.1572680932,15
2023-04-24,2023,0.01978092263055904,413600.86741765804,15
2023-05-01,2023,0.019217772420580714,421549.35476064536,14
2023-05-08,2023,-0.03501002892115196,406790.89965878223,14
2023-05-15,2023,0.04355833625106461,424510.0344499925,14
2023-05-22,2023,-0.00118784499474468,424005.78233035223,14
2023-06-05,2023,0.03911958874031792,440592.7141586324,14
2023-06-12,2023,-0.023846839397204965,430085.9704645128,14
2023-06-26,2023,0.059430659597184354,455646.26337271393,14
2023-07-03,2023,0.0021852671783646805,456641.9721970068,14
2023-07-10,2023,0.010439239897565978,461408.967292069,14
2023-07-17,2023,0.021761218569889707,471449.7886794188,14
2023-07-24,2023,0.029844050160863812,485519.759821096,14
2023-07-31,2023,-0.031506033605556386,470222.9579520109,14
2023-08-07,2023,-0.047977674437410675,447662.7539623931,13
2023-08-14,2023,-0.05519962963407003,422951.9357427012,13
2023-08-21,2023,-0.010231601273796187,418624.4601782016,13
2023-08-28,2023,0.012950873434042554,424046.0125783638,13
2023-09-11,2023,-0.011985650794654612,418963.54515073384,15
2023-09-18,2023,-0.07908276160360257,385830.75098897814,15
2023-09-25,2023,0.042573749997300084,402257.0129228534,15
2023-10-02,2023,-0.01387406760214398,396676.07193212525,15
