date,ticker,action,price,shares,amount,cash_balance,total_value,strategy,pnl
2025-11-10,COIN,SELL,317.92999267578125,3,953.3130830383301,3494.7553631792166,9888.335759617816,new_ml,67.65307937622072
2025-11-10,ARE,SELL,54.2599983215332,17,921.9587614803314,4416.714124659548,9888.335759617816,new_ml,-23.411248895645144
2025-11-10,TER,SELL,183.9409942626953,5,919.2451188278199,5335.959243487368,9888.335759617816,new_ml,8.533372611999539
2025-11-10,ORCL,BUY,240.8300018310547,4,963.8016673278808,4372.157576159488,9888.335759617816,new_ml,0.0
2025-11-10,CHTR,BUY,210.4499969482422,4,842.2208877868652,3529.9366883726225,9888.335759617816,new_ml,0.0
2025-11-10,LYB,BUY,41.57394027709961,23,956.6787266864776,2573.257961686145,9888.335759617816,new_ml,0.0
2025-11-10,BLDR,BUY,107.05999755859375,9,964.0217480163574,1609.2362136697875,9888.335759617816,new_ml,0.0
2025-11-10,DXCM,BUY,54.84000015258789,18,987.6135627479553,621.6226509218322,9888.335759617816,new_ml,0.0
2025-11-11,ORCL,SELL,236.14999389648438,4,944.1276755981446,1565.7503265199769,10058.526329815875,new_ml,-19.192331726074144
2025-11-11,BLDR,SELL,106.91000366210938,9,961.7089379425049,2527.4592644624818,10058.526329815875,new_ml,-1.8310400848388326
2025-11-11,DXCM,SELL,58.130001068115234,18,1045.8168492164612,3573.276113678943,10058.526329815875,new_ml,58.69684646987912
2025-11-11,TTD,BUY,44.20000076293945,22,972.8862167930603,2600.389896885883,10058.526329815875,new_ml,0.0
2025-11-11,PLTR,BUY,190.9600067138672,5,955.2774335861205,1645.1124632997626,10058.526329815875,new_ml,0.0
2025-11-11,STZ,BUY,131.80999755859375,7,923.1313179016113,721.9811453981513,10058.526329815875,new_ml,0.0
2025-11-12,CHTR,SELL,213.07000732421875,4,851.8538892822266,1573.835034680378,10110.866376416217,new_ml,10.053901489257896
2025-11-12,STZ,SELL,130.3800048828125,7,912.2037041625977,2486.0387388429754,10110.866376416217,new_ml,-10.46627874755859
2025-11-12,UNH,BUY,336.7955627441406,3,1010.891881576538,1475.1468572664373,10110.866376416217,new_ml,0.0
2025-11-12,BLDR,BUY,106.41999816894531,9,958.258873512268,516.8879837541693,10110.866376416217,new_ml,0.0
2025-11-13,MRNA,SELL,24.959999084472656,35,873.1631679725648,1390.0511517267341,9979.05713887502,new_ml,-111.73681066513052
2025-11-13,LYB,SELL,44.247039794921875,23,1017.1730743255616,2407.2242260522958,9979.05713887502,new_ml,60.97244795227061
2025-11-13,INTC,BUY,35.90999984741211,27,970.0547808780669,1437.1694451742287,9979.05713887502,new_ml,0.0
2025-11-13,APP,BUY,556.1500244140625,1,556.4280994262695,880.7413457479593,9979.05713887502,new_ml,0.0
2025-11-14,TTD,SELL,41.93000030517578,22,921.9987767105104,1802.7401224584696,9899.486779555333,new_ml,-50.40124007415761
2025-11-14,UNH,SELL,319.7104187011719,3,958.651690475464,2761.3918129339336,9899.486779555333,new_ml,-51.73499775695791
2025-11-14,SW,BUY,34.290000915527344,28,960.600085647583,1800.7917272863506,9899.486779555333,new_ml,0.0
2025-11-14,DXCM,BUY,58.060001373291016,17,987.5135333576202,813.2781939287304,9899.486779555333,new_ml,0.0
2025-11-17,CMG,SELL,30.530000686645508,32,976.47154196167,1789.7497358904004,9707.205478169453,new_ml,-2.4084629211424726
2025-11-17,PLTR,SELL,171.25,5,855.8218750000001,2645.5716108904007,9707.205478169453,new_ml,-98.97815856933585
2025-11-17,SW,SELL,33.91999816894531,28,949.2850687561036,3594.8566796465043,9707.205478169453,new_ml,-10.83495687866207
2025-11-17,TTD,BUY,40.209999084472656,24,965.5224980163574,2629.3341816301468,9707.205478169453,new_ml,0.0
2025-11-17,LYB,BUY,42.34185028076172,22,931.9864665298461,1697.3477151003008,9707.205478169453,new_ml,0.0
2025-11-17,ODFL,BUY,129.63290405273438,7,907.8840435333251,789.4636715669757,9707.205478169453,new_ml,0.0
2025-11-18,BLDR,SELL,98.5999984741211,9,886.9562862739564,1676.419957840932,9770.048087002766,new_ml,-70.82369724655143
2025-11-18,DXCM,SELL,60.16999816894531,17,1022.3785238876343,2698.7984817285665,9770.048087002766,new_ml,35.35850054168702
2025-11-18,LYB,SELL,42.51681900024414,22,934.9023329963685,3633.700814724935,9770.048087002766,new_ml,3.3816268196106876
2025-11-18,ODFL,SELL,130.40138244628906,7,912.3532722854615,4546.054087010396,9770.048087002766,new_ml,4.922943916320833
2025-11-18,CMG,BUY,30.760000228881836,31,954.0367870988845,3592.0172999115116,9770.048087002766,new_ml,0.0
2025-11-18,LRCX,BUY,143.00457763671875,6,858.4564795532226,2733.5608203582888,9770.048087002766,new_ml,0.0
2025-11-18,HOOD,BUY,114.30000305175781,8,914.8572244262695,1818.7035959320192,9770.048087002766,new_ml,0.0
2025-11-18,STX,BUY,253.86000061035156,3,761.9607918319701,1056.742804100049,9770.048087002766,new_ml,0.0
2025-11-19,LRCX,SELL,148.55543518066406,6,890.8869447784424,1947.6297488784912,9823.113859703077,new_ml,32.8594789581299
2025-11-19,HOOD,SELL,118.16000366210938,8,944.8073892822266,2892.437138160718,9823.113859703077,new_ml,30.40736486816411
2025-11-19,LULU,BUY,166.05999755859375,5,830.7151377868652,2061.722000373853,9823.113859703077,new_ml,0.0
2025-11-19,LYB,BUY,41.5642204284668,23,956.4550583896637,1105.2669419841893,9823.113859703077,new_ml,0.0
2025-11-20,DECK,SELL,81.4800033569336,12,977.2711602630616,2082.538102247251,9625.153452833189,new_ml,-4.448810440063426
2025-11-20,APP,SELL,520.8200073242188,1,520.5595973205567,2603.097699567808,9625.153452833189,new_ml,-35.59042709350581
2025-11-20,TTD,SELL,38.349998474121094,24,919.9397633972169,3523.037462965025,9625.153452833189,new_ml,-45.10021463012686
2025-11-20,CMG,SELL,30.350000381469727,31,940.3795868196488,4463.4170497846735,9625.153452833189,new_ml,-13.180420275688107
2025-11-20,LULU,SELL,164.69000244140625,5,823.0382872009278,5286.455336985601,9625.153452833189,new_ml,-7.261700592040938
2025-11-20,HOOD,BUY,106.20999908447266,9,956.367936756134,4330.087400229468,9625.153452833189,new_ml,0.0
2025-11-20,MU,BUY,201.3699951171875,4,805.8827204589843,3524.2046797704834,9625.153452833189,new_ml,0.0
2025-11-20,CHTR,BUY,194.7100067138672,4,779.2294468688964,2744.975232901587,9625.153452833189,new_ml,0.0
2025-11-20,PLTR,BUY,155.7449951171875,6,934.9372056884765,1810.0380272131104,9625.153452833189,new_ml,0.0
2025-11-20,MRNA,BUY,22.360000610351562,43,961.9607662582397,848.0772609548707,9625.153452833189,new_ml,0.0
2025-11-21,INTC,SELL,34.5,27,931.03425,1779.1115109548707,9865.854038222327,new_ml,-38.53574588012691
2025-11-21,CHTR,SELL,203.0,4,811.594,2590.705510954871,9865.854038222327,new_ml,32.7539731445313
2025-11-21,MRNA,SELL,23.719999313354492,43,1019.4499904890062,3610.1555014438773,9865.854038222327,new_ml,57.96996424388897
2025-11-21,WDC,BUY,139.0781707763672,7,974.0339690322876,2636.1215324115897,9865.854038222327,new_ml,0.0
2025-11-21,CMG,BUY,31.6299991607666,31,981.0202389707565,1655.1012934408332,9865.854038222327,new_ml,0.0
